FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 17:38:52.113	135131.59912690
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
78.116	-0.266	508.412
79.097	1.807	508.419
79.062	6.026	508.063
79.039	10.288	507.740
79.111	14.739	507.336
79.074	19.148	507.151
79.052	23.594	507.101
79.127	28.254	506.727
79.166	32.818	506.562
79.230	37.299	506.523
79.206	41.998	506.379
79.281	46.476	506.510
79.261	51.141	506.650
79.282	55.740	506.512
79.377	60.066	506.956
79.391	64.688	507.012
79.377	69.333	507.067
79.447	73.629	507.533
79.533	78.007	507.837
79.584	82.191	508.290
79.640	86.397	508.660
79.606	90.707	508.911
79.663	94.722	509.380
79.680	98.614	509.860
79.771	102.304	510.380
79.839	105.885	510.920
79.845	109.471	511.387
79.872	112.854	511.812
79.891	116.106	512.359
79.946	119.075	512.940
79.981	121.934	513.464
79.970	124.789	513.844
80.085	127.204	514.348
80.107	129.583	514.939
80.138	131.815	515.300
80.128	133.974	515.558
80.208	135.709	516.058
80.175	137.453	516.424
80.202	138.951	516.711
80.176	140.292	516.974
80.213	141.302	517.184
80.213	142.180	517.390
80.249	142.758	517.673
80.247	143.227	517.625
79.584	144.765	517.410
79.583	144.762	517.439
79.562	144.624	517.318
80.218	142.964	517.520
80.269	142.260	517.471
80.178	141.627	517.177
80.166	140.650	516.975
80.153	139.500	516.738
80.185	138.021	516.615
79.458	137.912	515.808
80.085	134.921	515.678
80.031	133.033	515.293
79.350	132.228	514.560
79.988	128.625	514.402
79.935	126.200	513.904
79.886	123.547	513.426
79.899	120.636	512.950
79.812	117.783	512.347
79.781	114.600	511.827
79.749	111.280	511.398
78.985	109.279	510.505
79.674	104.199	510.391
79.618	100.558	509.870
79.583	96.735	509.395
79.531	92.855	508.923
79.483	88.820	508.506
79.425	84.731	508.101
79.399	80.554	507.769
