FILE_VERSION	2.0.0
NO_OF_FRAMES	1000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2025-10-16, 12:12:55.637	115575.15614330
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
105.922	-12.151	436.771
105.964	-9.947	436.615
105.852	-7.756	436.367
105.926	-5.241	436.274
105.965	-2.816	436.080
105.980	-0.172	435.885
105.930	2.560	435.731
105.828	5.303	435.548
105.815	8.100	435.458
105.894	11.178	435.425
105.798	14.201	435.309
105.700	17.246	435.196
105.634	20.347	435.109
105.632	23.444	435.054
105.560	26.727	435.059
105.500	29.957	435.054
105.475	33.186	435.063
105.442	36.496	435.046
105.338	39.873	435.094
105.258	43.092	435.244
105.202	46.410	435.298
105.127	49.816	435.373
105.043	53.052	435.581
105.022	56.394	435.738
104.969	59.633	435.940
104.866	62.953	436.146
104.791	66.058	436.396
104.733	69.316	436.637
104.780	72.250	436.864
104.669	75.245	437.132
104.653	78.373	437.394
104.668	81.190	437.726
104.679	84.031	438.028
104.609	86.794	438.316
104.583	89.583	438.667
104.606	92.164	438.986
104.588	94.534	439.290
104.584	96.882	439.613
104.569	99.136	439.943
104.567	101.357	440.252
104.596	103.491	440.560
104.569	105.407	440.845
104.597	107.192	441.144
104.609	108.827	441.446
104.594	110.452	441.728
104.636	111.806	441.963
104.677	113.147	442.151
104.676	114.226	442.335
104.635	115.193	442.513
104.710	116.093	442.654
104.761	116.789	442.787
104.767	117.359	442.911
104.783	117.775	442.982
104.792	118.079	443.042
104.796	118.231	443.082
104.786	118.209	443.078
104.790	118.063	443.045
104.819	117.728	442.983
104.791	117.273	442.904
104.811	116.694	442.791
104.789	115.946	442.646
104.771	115.110	442.488
104.740	114.055	442.278
104.708	112.884	442.122
104.702	111.606	441.919
104.671	110.203	441.624
104.670	108.623	441.370
104.698	106.928	441.084
104.703	105.108	440.765
104.724	103.158	440.472
104.738	101.140	440.146
104.637	98.909	439.876
104.640	96.652	439.587
104.680	94.322	439.247
104.647	91.937	438.960
104.617	89.351	438.630
104.635	86.555	438.271
104.687	83.824	437.991
104.658	80.998	437.679
104.613	78.172	437.341
104.659	75.118	437.080
104.763	72.175	436.758
104.677	69.149	436.560
104.723	65.975	436.342
104.793	62.878	436.104
104.885	59.579	435.899
104.952	56.386	435.673
104.947	53.083	435.569
105.012	49.860	435.375
105.042	46.480	435.272
105.168	43.351	435.220
105.190	39.988	435.070
105.286	36.650	435.033
105.261	33.438	435.033
105.396	30.186	434.964
105.456	27.032	434.987
105.562	23.796	434.994
105.586	20.750	435.059
105.643	17.694	435.131
105.771	14.720	435.207
105.779	11.670	435.268
105.691	8.790	435.397
105.791	5.902	435.539
105.831	3.219	435.723
105.909	0.500	435.888
105.886	-1.966	436.049
105.919	-4.439	436.120
106.091	-6.734	436.314
106.060	-8.911	436.521
106.012	-11.126	436.673
106.003	-13.226	436.821
106.110	-14.975	437.020
106.009	-16.912	437.153
105.959	-18.534	437.320
105.975	-20.115	437.471
105.967	-21.461	437.589
105.857	-22.888	437.746
105.923	-23.930	437.853
105.966	-24.949	437.953
105.849	-25.745	438.118
105.985	-26.356	438.164
105.913	-26.956	438.172
105.801	-27.421	438.190
105.723	-27.754	438.216
105.829	-27.729	438.258
105.717	-27.798	438.241
105.764	-27.579	438.207
105.764	-27.285	438.169
105.815	-26.773	438.169
105.750	-26.234	438.133
105.613	-25.633	438.028
105.601	-24.700	437.906
105.601	-23.703	437.838
105.552	-22.590	437.712
105.614	-21.193	437.560
105.698	-19.722	437.427
105.591	-18.181	437.301
105.583	-16.613	437.122
105.625	-14.627	436.979
105.643	-12.731	436.768
105.719	-10.645	436.606
105.671	-8.507	436.452
105.764	-6.245	436.297
105.728	-3.923	436.064
105.640	-1.421	435.911
105.737	1.147	435.838
105.718	3.782	435.708
105.713	6.510	435.553
105.757	9.395	435.406
105.677	12.323	435.273
105.729	15.291	435.236
105.731	18.344	435.113
105.674	21.352	435.134
105.709	24.351	435.058
105.620	27.566	435.071
105.599	30.738	435.037
105.546	34.043	435.077
105.566	37.138	435.085
105.464	40.484	435.126
105.449	43.657	435.190
105.314	46.814	435.310
105.345	50.225	435.440
105.330	53.439	435.644
105.226	56.651	435.759
105.147	59.802	435.959
105.088	63.077	436.174
104.957	66.089	436.412
104.912	69.233	436.646
104.902	72.212	436.955
104.815	75.054	437.113
104.782	78.121	437.388
104.759	80.863	437.693
104.788	83.627	437.997
104.648	86.271	438.248
104.603	89.032	438.601
104.611	91.541	438.894
104.565	93.859	439.193
104.582	96.132	439.497
104.534	98.362	439.827
104.474	100.456	440.160
104.498	102.548	440.419
104.486	104.399	440.699
104.460	106.147	440.958
104.467	107.764	441.221
104.434	109.258	441.487
104.452	110.595	441.726
104.518	111.771	441.896
104.512	112.848	442.059
104.531	113.791	442.222
104.565	114.580	442.370
104.518	115.235	442.474
104.554	115.756	442.574
104.605	116.263	442.684
104.647	116.395	442.702
104.663	116.622	442.756
104.688	116.597	442.753
104.729	116.421	442.724
104.700	116.129	442.672
104.745	115.641	442.596
104.779	115.056	442.478
104.776	114.307	442.358
104.773	113.437	442.212
104.752	112.412	442.054
104.774	111.275	441.843
104.806	109.950	441.610
104.834	108.542	441.384
104.846	106.958	441.118
104.874	105.262	440.813
104.893	103.507	440.549
104.923	101.623	440.249
104.957	99.618	439.954
104.881	97.403	439.680
104.853	95.196	439.396
104.835	92.918	439.108
104.880	90.521	438.778
104.861	87.879	438.470
104.838	85.225	438.113
104.886	82.531	437.879
104.790	79.809	437.548
104.832	76.938	437.238
104.730	73.978	436.936
104.814	71.047	436.695
104.776	68.038	436.497
104.751	65.008	436.242
104.812	61.948	436.008
104.906	58.774	435.821
104.892	55.637	435.622
104.887	52.424	435.524
104.894	49.201	435.307
104.941	45.849	435.231
104.993	42.718	435.200
105.047	39.571	435.053
105.075	36.254	435.004
105.032	33.158	434.958
105.177	29.935	434.985
105.237	26.852	434.987
105.362	23.700	434.979
105.384	20.801	435.053
105.404	17.725	435.128
105.539	14.842	435.167
105.498	11.961	435.251
105.559	9.069	435.379
105.648	6.269	435.563
105.707	3.657	435.704
105.739	1.061	435.863
105.729	-1.406	435.909
105.940	-3.748	436.096
105.877	-6.108	436.317
105.902	-8.254	436.418
106.102	-10.140	436.621
106.017	-12.247	436.751
106.019	-14.100	436.927
106.053	-15.911	437.063
106.061	-17.444	437.207
105.980	-19.024	437.359
106.029	-20.341	437.503
106.050	-21.617	437.597
106.057	-22.599	437.777
106.064	-23.554	437.832
106.090	-24.270	437.891
